Course Code,Semester,Course Name,Course Aliases, Main Course Staff  
COMP3311 , 19T1 , Database Systems ,  , John Shepherd; 
COMP2521 , 19T0 , Data Structures and Algorithms ,  , John Shepherd; Jashank Jeremy; 
COMP1400 , 18s2 , Programming for Designers ,  , Tatjana Zrimec; 
COMP1511 , 18s2 , Introduction to Programming ,  , Curtis Millar; Ashesh Mahidadia; Andrew Bennett; Mei Cheng Whale; 
COMP1521 , 18s2 , Computer Systems Fundamentals ,  , Wael Alghamdi; John Shepherd; Jashank Jeremy; 
COMP1531 , 18s2 , Software Engineering Fundamentals ,  , Anna Azzam; Isaac Carr; Aarthi Natarajan; I Su Park; Robert Clifton-Everest; 
COMP2121 , 18s2 , Microprocessors and Interfacing ,  , Hasindu Gamaarachchi; Hui Wu; 
COMP2511 , 18s2 , Object-Oriented Design & Programming ,  , Robert Clifton-Everest; Aarthi Natarajan; Anna Azzam; 
COMP2521 , 18s2 , Data Structures and Algorithms ,  , Ashesh Mahidadia; Zain Afzal; 
COMP3222 , 18s2 , Digital Circuits and Systems , COMP9222 , Oliver Diessel; 
COMP3331 , 18s2 , Computer Networks and Applications , COMP9331 , Nadeem Ahmed; Ali Dorri; Mahbub Hassan; Salil Kanhere; 
COMP3421 , 18s2 , Computer Graphics , COMP9415 , Robert Clifton-Everest; 
COMP3431 , 18s2 , Robot Software Architectures , COMP9431 , Addo Wondo; Colm Flanagan; Peter Timothy Kydd; Claude Sammut; 
COMP4418 , 18s2 , Knowledge Representation and Reasoning ,  , Haris Aziz; Maurice Pagnucco; David Rajaratnam; Christoph Schwering; 
COMP6445 , 18s2 , Digital Forensics and Incident Response , COMP6845 , Tim Boyce; Roland Wen; Nina Rodgers; Richard Buckland; Tek Huynh; Sketch; 
COMP6447 , 18s2 , System and Software Security Assessment ,  , Nina Rodgers; Thomas Phillips; Sean Yeoh; Tek Huynh; Richard Buckland; 
COMP6733 , 18s2 , Internet of Things Design Studio ,  , Salil Kanhere; 
COMP6741 , 18s2 , Parameterized and Exact Computation ,  , Serge Gaspers; 
COMP9020 , 18s2 , Foundations of Computer Science ,  , Paul Hunter; 
COMP9024 , 18s2 , Data Structures and Algorithms ,  , Michael Schofield; Michael Thielscher; 
COMP9032 , 18s2 , Microprocessors and Interfacing ,  , Hui Guo; 
COMP9311 , 18s2 , Database Systems ,  , Mohammad Ebrahimi; Rachid Hamadi; 
COMP9313 , 18s2 , Big Data Management ,  , Xin Cao; 
COMP9315 , 18s2 , DBMS Implementation ,  , Jashank Jeremy; John Shepherd; 
COMP9319 , 18s2 , Web Data Compression and Search ,  , Raymond Wong; 
COMP9321 , 18s2 , Data Services Engineering ,  , Mohammadali Yaghoubzadehfard; Morty Al-Banna; 
COMP9323 , 18s2 , Software as a Service Project ,  , Boualem Benatallah; Morty Al-Banna; 
COMP9418 , 18s2 , Advanced Topics In Statistical Machine Learning ,  , Astrid Dahl; Amir Dezfouli; Edwin Bonilla; 
COMP9444 , 18s2 , Neural Networks and Deep Learning ,  , Alexander Long; Alan Blair; 
COMP9517 , 18s2 , Computer Vision ,  , Xiongcai Cai; Manna Elizabeth Philip; Arcot Sowmya; Annette Spooner; 
COMP9900 , 18s2 , Information Technology Project , COMP3900 , Rachid Hamadi; Wael Alghamdi; 
ENGG1811 , 18s2 , Computing for Engineers  ,  , Ashesh Mahidadia; Mei Cheng Whale; Chun Tung Chou; 
GSOE9210 , 18s2 , Engineering Decisions ,  , Victor Jauregui; 
SENG2011 , 18s2 , Software Engineering Workshop 2A ,  , Albert Nymeyer; Vintony Padmadiredja; Ben Delaney; Timothy Hor; Lam Bao Quynh VO; Addo Wondo; Carroll Morgan; 
COMP1000 , 18s1 , Web Spreadsheets and Databases ,  , Aarthi Natarajan; Ali Darejeh; Isaac Carr; 
COMP1511 , 18s1 , Programming Fundamentals ,  , Ashesh Mahidadia; Mei Cheng Whale; John Shepherd; Andrew Bennett; Andrew Taylor; 
COMP1521 , 18s1 , Computer Systems Fundamentals ,  , Steven Parker; Mei Cheng Whale; John Shepherd; Wael Alghamdi; 
COMP1531 , 18s1 , Software Engineering Fundamentals ,  , Lyn Collins; Qingyang Lei; Matthew Phillips; Isaac Carr; Aarthi Natarajan; Ee Kho; Mei Cheng Whale; 
COMP1911 , 18s1 , Computing 1A ,  , Angela Finlayson; Mei Cheng Whale; 
COMP2121 , 18s1 , Microprocessors and Interfacing ,  , Sri Parameswaran; Daniel Murphy; 
COMP2521 , 18s1 , Data Structures and Algorithms ,  , Ashesh Mahidadia; Mei Cheng Whale; 
COMP3141 , 18s1 , Software System Design and Implementation ,  , Gabriele Keller; 
COMP3211 , 18s1 , Computer Architecture ,  , Hui Guo; 
COMP3311 , 18s1 , Database Systems ,  , Lyn Collins; John Shepherd; Chaoxu Zheng; Qingyang Lei; Rachid Hamadi; 
COMP3411 , 18s1 , Artificial Intelligence , COMP9814                  COMP9414 , Alan Blair; 
COMP4601 , 18s1 , Design Project B ,  , Oliver Diessel; Alexander Kroh; 
COMP6324 , 18s1 , IoT Service Design and Engineering ,  , Peter Klement; Lina Yao; Morty Al-Banna; 
COMP9020 , 18s1 , Foundations of Computer Science ,  , Michael Thielscher; Michael Schofield; 
COMP9021 , 18s1 , Principles of Programming ,  , Matthew Perry; Eric Martin; 
COMP9024 , 18s1 , Data Structures and Algorithms ,  , Hui Wu; 
COMP9243 , 18s1 , Distributed Systems ,  , Ihor Kuz; 
COMP9321 , 18s1 , Data Services Engineering ,  , Helen Paik; Alireza Tabebordbar; Mohammadali Yaghoubzadehfard; 
COMP9322 , 18s1 , Software Service Design and Engineering ,  , Fethi Rabhi; Onur Demirors; George Joukhadar; 
COMP9332 , 18s1 , Network Routing and Switching  ,  , Wen Hu; Mehdi Nobakht; 
COMP9334 , 18s1 , Capacity Planning of Computer Systems and Networks ,  , Chun Tung Chou; 
COMP9417 , 18s1 , Machine Learning and Data Mining ,  , Omar Ghattas; Michael Bain; Irah Wajchman; 
COMP9517 , 18s1 , Computer Vision ,  , Xiongcai Cai; Arcot Sowmya; Manna Elizabeth Philip; 
COMP9900 , 18s1 , Information Technology Project , COMP3900 , Tatjana Zrimec; Raymond Wong; 
ENGG1811 , 18s1 , Computing for Engineers ,  , Ashesh Mahidadia; Mei Cheng Whale; 
SENG2021 , 18s1 , Requirements and Design Workshop ,  , Fethi Rabhi; Morty Al-Banna; 
SENG3011 , 18s1 , Software Engineering Workshops 3 ,  , Fethi Rabhi; Madhushi Bandara; 
COMP2521 , 18x1 , Data Structures and Algorithms ,  , Angela Finlayson; Ashesh Mahidadia; Jashank Jeremy; 
COMP9024 , 18x1 , Data Structures and Algorithms  ,  , Ashesh Mahidadia; 
ENPY1811 , 18x1 , Computing for Engineers (Python edition) ,  , Mei Cheng Whale; Ashesh Mahidadia; Chun Tung Chou; 
COMP1400 , 17s2 , Programming for Designers ,  , Tatjana Zrimec; Hailun Tan; Isaac Carr; 
COMP1511 , 17s2 , Introduction to Programming ,  , Mei Cheng Whale; Alex Linker; Jashank Jeremy; Andrew Bennett; Curtis Millar; John Shepherd; Ashesh Mahidadia; 
COMP1521 , 17s2 , Computer Systems Fundamentals ,  , Mei Cheng Whale; Wael Alghamdi; John Shepherd; Zainab Abaid; 
COMP1531 , 17s2 , Software Engineering Fundamentals ,  , Aarthi Natarajan; Kongzhang Hao; Deepanjan Chakrabarty; 
COMP2121 , 17s2 , Microprocessors and Interfacing ,  , Hui Wu; Arash Bayat; John Shepherd; 
COMP2521 , 17s2 , Data Structures and Algorithms ,  , Ashesh Mahidadia; 
COMP3222 , 17s2 , Digital Circuits & Systems , COMP9222 , Oliver Diessel; 
COMP3421 , 17s2 , Computer Graphics , COMP9415 , Robert Clifton-Everest; Angela Finlayson; 
COMP3431 , 17s2 , Robot Software Architectures , COMP9431 , Claude Sammut; Timothy Wiley; David Rajaratnam; 
COMP4418 , 17s2 , Knowledge Representation and Reasoning ,  , Christoph Schwering; Maurice Pagnucco; Abdallah Saffidine; David Rajaratnam; 
COMP6733 , 17s2 , Internet of Things Design Studio ,  , Wen Hu; 
COMP6741 , 17s2 , Parameterized and Exact Computation ,  , Shenwei Huang; Edward Jay Lee; Serge Gaspers; 
COMP9020 , 17s2 , Foundations of Computer Science ,  , Manas Patra; Paul Hunter; John Shepherd; Michael Thielscher; 
COMP9021 , 17s2 , Principles of Programming ,  , Eric Martin; 
COMP9024 , 17s2 , Data Structures and Algorithms ,  , Michael Thielscher; 
COMP9311 , 17s2 , Database Systems ,  , John Shepherd; Rachid Hamadi; 
COMP9322 , 17s2 , Service Oriented Architectures ,  , Mohammadali Yaghoubzadehfard; Helen Paik; 
COMP9418 , 17s2 , Advanced Topics In Statistical Machine Learning ,  , Michael Bain; Edwin Bonilla; 
COMP9444 , 17s2 , Neural Networks and Deep Learning ,  , Alexander Long; Joel Mason; Alan Blair; 
COMP9517 , 17s2 , Computer Vision ,  , Xiongcai Cai; Arcot Sowmya; Manna Elizabeth Philip; 
COMP9900 , 17s2 , Information Technology Project ,  , Tatjana Zrimec; Raymond Wong; 
ENGG1811 , 17s2 , Computing for Engineers ,  , Ashesh Mahidadia; Mei Cheng Whale; John Shepherd; 
GSOE9210 , 17s2 , Engineering Decisions ,  , Victor Jauregui; 
SENG2021 , 17s2 , Software Engineering Workshop 2B ,  , Hussein Debel; Ali Darejeh; Fethi Rabhi; Madhushi Bandara; 
THES0001 , 17s2 , Thesis A , COMP4930                  BIOM5950                  SENG4910                  BIOM5960 , Helen Paik; 
THES0002 , 17s2 , Thesis B , COMP4941                  BIOM5951                  SENG4911                  COMP4931 , Helen Paik; 
BINF3021 , 17s1 , Genome Informatics Engineering Workshop , BINF9111 , Bruno Gaeta; 
BINF3111 , 17s1 , Genome Informatics Design Workshop ,  , Bruno Gaeta; 
COMP1000 , 17s1 , Web Spreadsheets and Databases ,  , Wei Xu; Aarthi Natarajan; 
COMP1511 , 17s1 , Introduction to Programming ,  , John Shepherd; Andrew Taylor; Mei Cheng Whale; 
COMP1911 , 17s1 , Computing 1A ,  , Angela Finlayson; 
COMP1927 , 17s1 , Computing 2 ,  , Ashesh Mahidadia; Mei Cheng Whale; 
COMP3141 , 17s1 , Software System Design and Implementation ,  , Gabriele Keller; Liam O'Connor-Davis; 
COMP4601 , 17s1 , Design Project B ,  , Oliver Diessel; 
COMP9020 , 17s1 , Foundations of Computer Science ,  , Michael Thielscher; 
COMP9021 , 17s1 , Principles of Programming ,  , Eric Martin; 
COMP9024 , 17s1 , Data Structures and Algorithms ,  , Hui Wu; 
COMP9243 , 17s1 , Distributed Systems ,  , Ihor Kuz; 
COMP9322 , 17s1 , Service Oriented Computing ,  , Helen Paik; 
COMP9334 , 17s1 , Capacity Planning of Computer Systems and Networks ,  , Chun Tung Chou; 
ENGG1811 , 17s1 , Computing for Engineers ,  , Chun Tung Chou; Mei Cheng Whale; Ashesh Mahidadia; John Shepherd; 
SENG2011 , 17s1 , Software Engineering Workshop 2A ,  , Ian Chee-Wing Wong; Albert Nymeyer; Manas Patra; Ron Van der Meyden; Addo Wondo; Carroll Morgan; 
SENG3011 , 17s1 , Software Engineering Workshop 3 ,  , Madhushi Bandara; Fethi Rabhi; 
TEST1511 , 17s1 , COMP1511 Digital Uplift ,  , Kirishanth Sivanathan; Chaoxu Zheng; 
THES0001 , 17s1 , CSE Thesis A , BIOM5950                  COMP4930                  SENG4910 , Helen Paik; 
THES0002 , 17s1 , CSE Thesis B , BIOM5951                  COMP4931                  SENG4911                  COMP4941 , Helen Paik; 
COMP1927 , 17x1 , Computing 2 ,  , Aarthi Natarajan; John Shepherd; Mei Cheng Whale; 
BINF3020 , 16s2 , Computational Bioinformatics , BINF9020 , Michael Bain; 
COMP1400 , 16s2 , Programming for Designers ,  , John Shepherd; Ashesh Mahidadia; Gihan Samarasinghe; Hailun Tan; David Sison; 
COMP1917 , 16s2 , Computing 1 ,  , Sim Mautner; Stanislav Shkel; 
COMP1921 , 16s2 , Computing 1B ,  , Ashesh Mahidadia; Mei Cheng Whale; 
COMP1927 , 16s2 , Computing 2 ,  , John Shepherd; Mei Cheng Whale; 
COMP3222 , 16s2 , Digital Circuits & Systems , COMP9222 , Oliver Diessel; 
COMP3331 , 16s2 , Computer Networks and Applications , COMP9331 , Salil Kanhere; Nadeem Ahmed; 
COMP3421 , 16s2 , Computer Graphics , COMP9415 , Angela Finlayson; Robert Clifton-Everest; 
COMP3431 , 16s2 , Robot Software Architectures , COMP9431 , Timothy Wiley; Claude Sammut; 
COMP6733 , 16s2 , Internet of Things Design Studio ,  , Wen Hu; 
COMP6741 , 16s2 , Parameterized and Exact Computation ,  , Serge Gaspers; 
COMP6771 , 16s2 , Advanced C++ Programming ,  , Jingling Xue; Christopher James Di Bella; 
COMP9021 , 16s2 , Principles of Programming ,  , Eric Martin; 
COMP9322 , 16s2 , Service Oriented Architectures ,  , Helen Paik; 
COMP9517 , 16s2 , Computer Vision ,  , Xiongcai Cai; Arcot Sowmya; Gihan Samarasinghe; 
ENGG1811 , 16s2 , Computing for Engineers ,  , Mei Cheng Whale; Chun Tung Chou; 
GSOE9210 , 16s2 , Decision Methods for Engineers ,  , Victor Jauregui; 
SENG2021 , 16s2 , Software Engineering Workshop 2B ,  , Fethi Rabhi; Ashesh Mahidadia; 
THES0001 , 16s2 , CSE Thesis Part A , BIOM5909                  BIOM5960                  BIOM5970                  BINF4910                  COMP4910                  BIOM5950                  BIOM5920                  BIOM5940                  COMP4930                  SENG4910 , Helen Paik; 
THES0002 , 16s2 , CSE Thesis Part B , SENG4911                  BIOM5921                  COMP4931                  BINF4911                  BIOM5951                  BIOM5971                  BIOM5904                  BIOM5941                  COMP4911                  BIOM5961 , Helen Paik; 
XYZZ0001 , 16s2 , Webcms3 Testing ,  , Lester Mata; John Shepherd; 
COMP1911 , 16s1 , Computing 1A ,  , Mei Cheng Whale; Andrew Taylor; 
COMP1917 , 16s1 , Computing 1 ,  , Sim Mautner; Richard Buckland; Angela Finlayson; Mei Cheng Whale; 
COMP1927 , 16s1 , Computing 2 ,  , Ashesh Mahidadia; Mei Cheng Whale; 
COMP3331 , 16s1 , Computer Networks and Applications , COMP9331 , Salil Kanhere; 
COMP9021 , 16s1 , Principles of Programming ,  , Eric Martin; 
COMP9315 , 16s1 , DBMS Implementation ,  , John Shepherd; 
COMP9322 , 16s1 , Service Oriented Architectures ,  , Helen Paik; 
COMP9334 , 16s1 , Capacity Planning of Computer Systems and Networks ,  , Chun Tung Chou; 
ENGG1811 , 16s1 , Computing for Engineers ,  , Ashesh Mahidadia; Geoff Whale; Mei Cheng Whale; 
SENG2011 , 16s1 , Software Engineering Workshop 2A ,  , Albert Nymeyer; 
THES0001 , 16s1 , CSE Thesis Part A , BINF4910                  COMP4930                  COMP4910                  SENG4910 , Helen Paik; 
THES0002 , 16s1 , TESTING PAGE UNOFFICIAL ,  , Helen Paik; 
COMP1927 , 16x1 , Computing 2 ,  , Angela Finlayson; 
COMP1927 , 15s2 , Computing 2 ,  , Genevieve Anne; John Shepherd; Ashesh Mahidadia; Mei Cheng Whale; 
COMP3421 , 15s2 , Computer Graphics , COMP9415 , Angela Finlayson; 
COMP6741 , 15s2 , Parameterized and Exact Computation ,  , Serge Gaspers; 
COMP9021 , 15s2 , Principles of Programming ,  , Eric Martin; 
COMP9322 , 15s2 , Service Oriented Architectures ,  , Helen Paik; 
GSOE9010 , 15s2 , Engineering Research Skills ,  , Emily Mitchell; Mona Wong; John Shepherd; 
COMP3421 , 14s2 , Computer Graphics , COMP9415 , Angela Finlayson; 
TEST8880 , 00x0 , TEST Int. to Pro. not cloned TEST ,  , Andrew Bennett; 
TEST8888 , 00x0 , TEST Int. to Pro. 17s1 cloned TEST ,  , Andrew Bennett; 
TEST9021 , 00x0 , Self-assessment test for COMP9021 ,  , John Shepherd; 
TEST9311 , 00x0 , Self-assessment test for COMP9311 ,  , John Shepherd; Eric Martin; 
_THESIS_ , 00x0 , CSE Theses , THES0000 , John Shepherd; 
TUTR0101 , 00x0 , Tutor and Course Knowledge Repository ,  , Jashank Jeremy; Andrew Taylor; John Shepherd; 
